State Name,2013,2014,2015,2016,2017,2018
Alabama,4799277,4817678,4830620,4841164,4850771,4864680
Alaska,720316,728300,733375,736855,738565,738516
Arizona,6479703,6561516,6641928,6728577,6809946,6946685
Arkansas,2933369,2947036,2958208,2968472,2977944,2990671
California,37659181,38066920,38421464,38654206,38982847,39148760
Colorado,5119329,5197580,5278906,5359295,5436519,5531141
Connecticut,3583561,3592053,3593222,3588570,3594478,3581504
Delaware,908446,917060,926454,934695,943732,949495
District of Columbia,619371,633736,647484,659009,672391,684498
Florida,19091156,19361792,19645772,19934451,20278447,20598139
Georgia,9810417,9907756,10006693,10099320,10201635,10297484
Hawaii,1376298,1392704,1406299,1413673,1421658,1422029
Idaho,1583364,1599464,1616547,1635483,1657375,1687809
Illinois,12848554,12868747,12873761,12851684,12854526,12821497
Indiana,6514861,6542411,6568645,6589578,6614418,6637426
Iowa,3062553,3078116,3093526,3106589,3118102,3132499
Kansas,2868107,2882946,2892987,2898292,2903820,2908776
Kentucky,4361333,4383272,4397353,4411989,4424376,4440204
Louisiana,4567968,4601049,4625253,4645670,4663461,4663616
Maine,1328320,1328535,1329100,1329923,1330158,1332813
Maryland,5834299,5887776,5930538,5959902,5996079,6003435
Massachusetts,6605058,6657291,6705586,6742143,6789319,6830193
Michigan,9886095,9889024,9900571,9909600,9925568,9957488
Minnesota,5347740,5383661,5419171,5450868,5490726,5527358
Mississippi,2976872,2984345,2988081,2989192,2986220,2988762
Missouri,6007182,6028076,6045448,6059651,6075300,6090062
Montana,998554,1006370,1014699,1023391,1029862,1041732
Nebraska,1841625,1855617,1869365,1881259,1893921,1904760
Nevada,2730066,2761584,2798636,2839172,2887725,2922849
New Hampshire,1319171,1321069,1324201,1327503,1331848,1343622
New Jersey,8832406,8874374,8904413,8915456,8960161,8881845
New Mexico,2069706,2080085,2084117,2082669,2084828,2092434
New York,19487053,19594330,19673174,19697457,19798228,19618453
North Carolina,9651380,9750405,9845333,9940828,10052564,10155624
North Dakota,689781,704925,721640,736162,745475,752201
Ohio,11549590,11560380,11575977,11586941,11609756,11641879
Oklahoma,3785742,3818851,3849733,3875589,3896251,3918137
Oregon,3868721,3900343,3939233,3982267,4025127,4081943
Pennsylvania,12731381,12758729,12779559,12783977,12790505,12791181
Rhode Island,1051695,1053252,1053661,1054491,1056138,1056611
South Carolina,4679602,4727273,4777576,4834605,4893444,4955925
South Dakota,825198,834708,843190,851058,855444,864289
Tennessee,6402387,6451365,6499615,6548009,6597381,6651089
Texas,25639373,26092033,26538614,26956435,27419612,27885195
Utah,2813673,2858111,2903379,2948427,2993941,3045350
Vermont,625904,626358,626604,626249,624636,624977
Virginia,8100653,8185131,8256630,8310301,8365952,8413774
Washington,6819579,6899123,6985464,7073146,7169967,7294336
West Virginia,1853619,1853881,1851420,1846092,1836843,1829054
Wisconsin,5706871,5724692,5742117,5754798,5763217,5778394
Wyoming,570134,575251,579679,583029,583200,581836
Puerto Rico,3682966,3638965,3583073,3529385,3468963,3386941
